iter	Passed	Remaining
0	634	12621311	1029	101902	1383	9087433	1671	8191944	2076	8098255	2348	7593666	2786	7683777	3116	7480688	3451	73252
9	3755	71363
10	4063	69823
11	4362	68343
12	4722	67932
13	5181	68835
14	5456	67291
15	5736	65964
16	6133	66022
17	6466	65388
18	6787	64661
19	7070	63631
20	7361	62751
21	7708	62365
22	8058	62015
23	8336	61132
24	8736	61158
25	9026	60407
26	9309	59650
27	9587	58892
28	9835	57996
29	10172	57645
30	10574	57646
31	10894	57196
32	11237	56868
33	11641	56836
34	11885	56029
35	12322	56135
36	12534	55220
37	12893	54965
38	13238	54652
39	13653	54613
40	14051	54492
41	14425	54266
42	14724	53761
43	14980	53113
44	15218	52420
45	15504	51906
46	15744	51252
47	16057	50848
48	16373	50456
49	16744	50233
50	17059	49839
51	17374	49450
52	17609	48841
53	17872	48320
54	18162	47882
55	18441	47421
56	18761	47068
57	19114	46796
58	19376	46306
59	19643	45835
60	19920	45392
61	20315	45218
62	20540	44667
63	20872	44354
64	21152	43931
65	21382	43412
66	21646	42970
67	21887	42487
68	22184	42117
69	22396	41594
70	22725	41290
71	22963	40824
72	23279	40500
73	23650	40270
74	23966	39944
75	24232	39537
76	24547	39212
77	24900	38946
78	25206	38607
79	25452	38178
80	25763	37850
81	26128	37600
82	26437	37266
83	26652	36805
84	26887	36377
85	27156	35998
86	27427	35623
87	27815	35401
88	28106	35053
89	28427	34744
90	28601	34258
91	28883	33907
92	29255	33659
93	29488	33252
94	29818	32956
95	30105	32614
96	30360	32239797	30602	31859898	30853	31479999	31137	311310100	31400	307710101	31692	304510102	32045	301710103	32342	298510104	32588	2948105	33028	29289
106	33261	28909
107	33670	28681
108	33986	28374
109	34208	27989
110	34510	27670
111	34755	27307
112	35082	27010
113	35451	26744
114	35699	26386
115	35952	26034
116	36254	25718
117	36558	25405
118	36872	25097
119	37166	24777
120	37400	24418
121	37696	24100
122	37942	23752
123	38171	23395
124	38441	23065
12125	38602	226712126	38988	224112127	39282	220912128	39584	217812129	39853	214513130	40097	211113131	40449	208313132	40706	205013133	41031	202013134	41367	199113135	41594	195713136	41940	192813137	42175	189413138	42447	1862139	42847	18363
140	43149	18055
141	43497	17766
142	43804	17460
143	44038	17126
144	44281	16796
145	44575	16486
146	44939	16202
147	45267	15904
148	45601	15608
149	45800	15266
15150	46017	149315151	46340	146315152	46644	143215153	46967	140215154	47283	137215155	47592	13423
156	47798	130915157	48095	12784
158	48388	12477
159	48573	121416160	48874	11839
161	49120	11522
162	49361	112016163	49601	108816164	49866	105716165	50071	102516166	50299	99316167	50542	96216168	50852	93216169	51073	90117170	51349	87017171	51619	84017172	51870	80917173	52105	778171174	53288	7617175	52608	71717176	52848	68617177	53201	65717178	53450	62717179	53693	59618180	53928	56618181	54188	53518182	54419	50518183	54636	47518184	54863	44418185	55116	41418186	55333	38418187	55594	35418188	55825	32418189	56081	295191190	57292	26191191	57576	2319192	56816	20619193	57058	17619194	57315	14619195	57520	1173
196	57691	878
197	57806	583
198	57933	291
199	58029	0

